	Institution_Name	Location	Ratings
171	Impact Institute of Management Studies	Sahakara Nagar	1.9
172	Bangalore Institute of International Management (BIIM, Bangalore)	Mysore Road	No rating
173	Skybird Aviation, Bengaluru	Ganga Nagar	No rating
174	ICRI Bangalore - Institute of Clinical Research India Bangalore	Indiranagar	No rating
175	Dairy Science College, Bangalore	Hebbal	No rating
176	Sri Sathya Sai Institute of Higher Learning, Kadugodi	Whitefield	No rating
177	Vogue – Dr. Kariappa Business School	Doddaballapur Rd.	No rating
178	VYASA Business School, Swami Vivekananda Yoga Anusandhana Samsthana University	J.P. Nagar	No rating
179	Nagarjuna Degree College	Bangalore	No rating
180	Nest Academy of Sports Management (NASM)	Hosur Road	No rating
181	GRV Business Management Academy	Ganga Nagar	4.4
182	Christ, Bannerghatta Campus	Bannerghatta Road	No rating
183	Noble School of Business (NSB)	J.P. Nagar	3.4
184	Patel Group of Institutions, Banglore	Bellandur	No rating
185	International Institute of Industrial Safety Management	Nagarbhavi	No rating
186	Christian College	K R Puram	No rating
187	Aimfill International	Jayanagar	No rating
188	Indo Asian Academy Group of Institutions	Kalyan Nagar	No rating
189	Sunstone: Impact Group of Institutions	Sahakara Nagar	No rating
190	Institute of Business Management and Technology	Banashankari	No rating
191	Sambhram Group of Institutions powered by Sunstone	Jalahalli	No rating
192	St John's National Academy of Health Sciences	Sarjapur Road	No rating
193	LISAA School of Design, Bangalore	Koramangala	No rating
194	Hindustan Business School	Marathahalli	No rating
195	International Institute for Aerospace Engineering and Management, Jain Deemed-to-be University	Kanakapura Road	No rating
196	Aakash Institute of Business Management	Mallathalli	No rating
197	Maharani Cluster University	Seshadri Road	No rating
198	Dr. Kariappa School of Art and Design Management	Bangalore	No rating
199	Imperial Institute of Advanced Management	Bangalore	No rating
200	Sri Sathya Sai Institute of Higher Learning, Muddenahalli	Chikkaballapur	No rating
201	The East Point College of Higher Education	Bangalore	No rating
202	A.V.K Group of Institutions	Banashankari	No rating
203	Community Institute of Commerce and Management Studies	Bangalore	No rating
204	ATMA College	Bangalore	No rating
205	MQI College of Management	Bangalore	No rating
206	BTL Institute of Technology and Management	Hosur Road	No rating
207	Hetic	Bangalore	No rating
208	Sunstone: Koshys Group of Institutions	Bangalore	No rating
209	HKBK College of Engineering	Nagavara	No rating
210	R.K.Institute of Management and Computer Science	Sarjapur Road	No rating
211	Impact College of Engineering and Applied Sciences	Sahakara Nagar	No rating
212	Soundarya Institute of Management and Science	Nagasandra	No rating
213	Sri Sairam College of Engineering	Anekal	No rating
214	Hillside Group of Institutions	Kanakapura Road	No rating
215	Brindavan College of Management Studies	RMV Extension	No rating
216	Patel Institute of Science and Management.	Bangalore	No rating
217	Lorven College of Science and Management	Anekal	4.6
218	SB College of Management Studies	Yelahanaka	No rating
219	City Engineering College (CEC, Banglore)	Kanakapura Road	No rating
220	K.S. School of Engineering and Management	Kanakapura Road	No rating
221	St. Anne's Degree College for Women	Bangalore	No rating
222	National Institute of Business Excellence	Electronic City	No rating
223	Regional Institute of Cooperative Management, Bangalore	Padmanabhanagar	4.6
224	R S College of Management & Science - Karnataka	Bangalore	No rating
225	S.B. Group Of Institution	Yelahanaka	No rating
226	S.E.A College of Arts, Science and Commerce	Bangalore	No rating
227	BMSIT: Courses, Fees, Admission 2023, Placements, Rankings	Yelahanaka	No rating
228	Bangalore Institute of Management Studies (BIMS) powered by Sunstone	Bangalore	No rating
229	PNS Institute of Technology	Tumkur Road	No rating
